signal_type,planet,target_planet,aspect_type,house,sphere,planet_weight,aspect_weight,strength,threshold,base,modifier,contribution,passed_threshold,source
aspect,Transit_Jupiter,Sun,square,,work_status_achievement,0.3,0.85,0.1902584324540848,0.35,0.048516,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,work_status_achievement,0.3,1.0,0.2740386283973262,0.35,0.082212,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,work_status_achievement,0.3,0.55,0.7593984954702316,0.55,0.125301,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,work_status_achievement,0.3,0.55,0.8140318288035644,0.55,0.134315,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,work_status_achievement,0.3,0.55,0.5073681711964326,0.55,0.083716,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,work_status_achievement,0.3,0.85,0.12236137160267546,0.35,0.031202,0.0,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,work_status_achievement,1.0,0.85,0.13767531293107105,0.35,0.117024,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,work_status_achievement,1.0,0.85,0.8576003129310728,0.35,0.72896,0.2,0.92896,True,aspect
aspect,Transit_Saturn,Neptune,trine,,work_status_achievement,1.0,0.85,0.20328718706893056,0.35,0.172794,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,work_status_achievement,1.0,0.95,0.017524687068927847,0.35,0.016648,0.0,0.0,False,aspect
planet_in_house,Transit_Moon,,,10,work_status_achievement,0.13,,1.0,,0.13,0.0,0.13,True,planet_in_house
planet_in_house,Transit_Saturn,,,10,work_status_achievement,1.3,,1.0,,1.3,0.0,1.3,True,planet_in_house
planet_in_house,Transit_Neptune,,,10,work_status_achievement,0.13,,1.0,,0.13,0.0,0.13,True,planet_in_house
aspect,Transit_Moon,Neptune,trine,,relationships_partnership,0.6,0.85,0.6835475841479948,0.35,0.348609,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,relationships_partnership,0.6,0.95,0.8693100841479975,0.35,0.495507,0.0,0.495507,True,aspect
aspect,Transit_Venus,Uranus,square,,relationships_partnership,1.0,0.85,0.4625523781533657,0.35,0.39317,0.0,0.39317,True,aspect
aspect,Transit_Venus,Neptune,trine,,relationships_partnership,1.0,0.85,0.04237083088419169,0.35,0.036015,0.0,0.0,False,aspect
aspect,Transit_Mars,Moon,sextile,,relationships_partnership,0.4,0.55,0.8687421973576713,0.55,0.191123,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,relationships_partnership,0.4,0.85,0.1920308519817464,0.35,0.06529,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,relationships_partnership,0.4,0.95,0.1816316480182536,0.35,0.06902,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,relationships_partnership,0.4,0.85,0.23300585198174595,0.35,0.079222,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,relationships_partnership,0.4,0.85,0.7419558519817482,0.35,0.252265,0.2,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,relationships_partnership,0.3,0.85,0.13767531293107105,0.35,0.035107,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,relationships_partnership,0.3,0.85,0.8576003129310728,0.35,0.218688,0.2,0.0,False,aspect
aspect,Transit_Saturn,Neptune,trine,,relationships_partnership,0.3,0.85,0.20328718706893056,0.35,0.051838,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,relationships_partnership,0.3,0.95,0.017524687068927847,0.35,0.004995,0.0,0.0,False,aspect
aspect,Transit_Venus,Uranus,square,,money_security_resources,0.8,0.85,0.4625523781533657,0.35,0.314536,0.0,0.0,False,aspect
aspect,Transit_Venus,Neptune,trine,,money_security_resources,0.8,0.85,0.04237083088419169,0.35,0.028812,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Sun,square,,money_security_resources,0.7,0.85,0.1902584324540848,0.35,0.113204,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,money_security_resources,0.7,1.0,0.2740386283973262,0.35,0.191827,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,money_security_resources,0.7,0.55,0.7593984954702316,0.55,0.292368,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,money_security_resources,0.7,0.55,0.8140318288035644,0.55,0.313402,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,money_security_resources,0.7,0.55,0.5073681711964326,0.55,0.195337,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,money_security_resources,0.7,0.85,0.12236137160267546,0.35,0.072805,0.0,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,money_security_resources,0.6,0.85,0.13767531293107105,0.35,0.070214,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,money_security_resources,0.6,0.85,0.8576003129310728,0.35,0.437376,0.2,0.637376,True,aspect
aspect,Transit_Saturn,Neptune,trine,,money_security_resources,0.6,0.85,0.20328718706893056,0.35,0.103676,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,money_security_resources,0.6,0.95,0.017524687068927847,0.35,0.009989,0.0,0.0,False,aspect
aspect,Transit_Pluto,Sun,square,,money_security_resources,0.4,0.85,0.613809045185511,0.35,0.208695,0.0,0.0,False,aspect
aspect,Transit_Pluto,Moon,opposition,,money_security_resources,0.4,0.95,0.6446454145373224,0.35,0.244965,0.0,0.0,False,aspect
aspect,Transit_Pluto,Venus,trine,,money_security_resources,0.4,0.85,0.4489420854626758,0.35,0.15264,0.0,0.0,False,aspect
aspect,Transit_Pluto,Jupiter,trine,,money_security_resources,0.4,0.85,0.4899170854626753,0.35,0.166572,0.0,0.0,False,aspect
aspect,Transit_Pluto,Saturn,trine,,money_security_resources,0.4,0.85,0.9988670854626776,0.35,0.339615,0.2,0.0,False,aspect
planet_in_house,Transit_Venus,,,2,money_security_resources,0.8,,1.0,,0.8,0.0,0.8,True,planet_in_house
planet_in_house,Transit_Jupiter,,,2,money_security_resources,0.7,,1.0,,0.7,0.0,0.7,True,planet_in_house
planet_in_house,Transit_Pluto,,,8,money_security_resources,0.4,,1.0,,0.4,0.0,0.4,True,planet_in_house
aspect,Transit_Sun,Mercury,trine,,body_energy_health,0.8,0.85,0.9338695488406223,0.35,0.635031,0.0,0.635031,True,aspect
aspect,Transit_Sun,Pluto,square,,body_energy_health,0.8,0.85,0.13046337275357345,0.35,0.088715,0.0,0.0,False,aspect
aspect,Transit_Moon,Neptune,trine,,body_energy_health,0.6,0.85,0.6835475841479948,0.35,0.348609,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,body_energy_health,0.6,0.95,0.8693100841479975,0.35,0.495507,0.0,0.495507,True,aspect
aspect,Transit_Mars,Moon,sextile,,body_energy_health,1.0,0.55,0.8687421973576713,0.55,0.477808,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,body_energy_health,1.0,0.85,0.1920308519817464,0.35,0.163226,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,body_energy_health,1.0,0.95,0.1816316480182536,0.35,0.17255,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,body_energy_health,1.0,0.85,0.23300585198174595,0.35,0.198055,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,body_energy_health,1.0,0.85,0.7419558519817482,0.35,0.630662,0.2,0.830662,True,aspect
aspect,Transit_Saturn,Moon,trine,,body_energy_health,0.5,0.85,0.13767531293107105,0.35,0.058512,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,body_energy_health,0.5,0.85,0.8576003129310728,0.35,0.36448,0.2,0.56448,True,aspect
aspect,Transit_Saturn,Neptune,trine,,body_energy_health,0.5,0.85,0.20328718706893056,0.35,0.086397,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,body_energy_health,0.5,0.95,0.017524687068927847,0.35,0.008324,0.0,0.0,False,aspect
planet_in_house,Transit_Sun,,,1,body_energy_health,1.12,,1.0,,1.12,0.0,1.12,True,planet_in_house
planet_in_house,Transit_Mercury,,,1,body_energy_health,0.14,,1.0,,0.14,0.0,0.14,True,planet_in_house
aspect,Transit_Moon,Neptune,trine,,home_family_roots,1.0,0.85,0.6835475841479948,0.35,0.581015,0.0,0.581015,True,aspect
aspect,Transit_Moon,Pluto,opposition,,home_family_roots,1.0,0.95,0.8693100841479975,0.35,0.825845,0.0,0.825845,True,aspect
aspect,Transit_Venus,Uranus,square,,home_family_roots,0.4,0.85,0.4625523781533657,0.35,0.157268,0.0,0.0,False,aspect
aspect,Transit_Venus,Neptune,trine,,home_family_roots,0.4,0.85,0.04237083088419169,0.35,0.014406,0.0,0.0,False,aspect
aspect,Transit_Saturn,Moon,trine,,home_family_roots,0.5,0.85,0.13767531293107105,0.35,0.058512,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,home_family_roots,0.5,0.85,0.8576003129310728,0.35,0.36448,0.2,0.56448,True,aspect
aspect,Transit_Saturn,Neptune,trine,,home_family_roots,0.5,0.85,0.20328718706893056,0.35,0.086397,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,home_family_roots,0.5,0.95,0.017524687068927847,0.35,0.008324,0.0,0.0,False,aspect
aspect,Transit_Moon,Neptune,trine,,inner_background_unconscious,0.6,0.85,0.6835475841479948,0.35,0.348609,0.0,0.0,False,aspect
aspect,Transit_Moon,Pluto,opposition,,inner_background_unconscious,0.6,0.95,0.8693100841479975,0.35,0.495507,0.0,0.495507,True,aspect
aspect,Transit_Saturn,Moon,trine,,inner_background_unconscious,0.5,0.85,0.13767531293107105,0.35,0.058512,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,inner_background_unconscious,0.5,0.85,0.8576003129310728,0.35,0.36448,0.2,0.56448,True,aspect
aspect,Transit_Saturn,Neptune,trine,,inner_background_unconscious,0.5,0.85,0.20328718706893056,0.35,0.086397,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,inner_background_unconscious,0.5,0.95,0.017524687068927847,0.35,0.008324,0.0,0.0,False,aspect
aspect,Transit_Neptune,Moon,trine,,inner_background_unconscious,1.0,0.85,0.6069803533700124,0.35,0.515933,0.0,0.515933,True,aspect
aspect,Transit_Neptune,Venus,opposition,,inner_background_unconscious,1.0,0.95,0.4866071466299857,0.35,0.462277,0.2,0.662277,True,aspect
aspect,Transit_Neptune,Jupiter,opposition,,inner_background_unconscious,1.0,0.95,0.5275821466299853,0.35,0.501203,0.2,0.701203,True,aspect
aspect,Transit_Neptune,Saturn,opposition,,inner_background_unconscious,1.0,0.95,0.9634678533700125,0.35,0.915294,0.0,0.915294,True,aspect
aspect,Transit_Pluto,Sun,square,,inner_background_unconscious,0.4,0.85,0.613809045185511,0.35,0.208695,0.0,0.0,False,aspect
aspect,Transit_Pluto,Moon,opposition,,inner_background_unconscious,0.4,0.95,0.6446454145373224,0.35,0.244965,0.0,0.0,False,aspect
aspect,Transit_Pluto,Venus,trine,,inner_background_unconscious,0.4,0.85,0.4489420854626758,0.35,0.15264,0.0,0.0,False,aspect
aspect,Transit_Pluto,Jupiter,trine,,inner_background_unconscious,0.4,0.85,0.4899170854626753,0.35,0.166572,0.0,0.0,False,aspect
aspect,Transit_Pluto,Saturn,trine,,inner_background_unconscious,0.4,0.85,0.9988670854626776,0.35,0.339615,0.2,0.0,False,aspect
planet_in_house,Transit_Mars,,,12,inner_background_unconscious,0.1,,1.0,,0.1,0.0,0.1,True,planet_in_house
planet_in_house,Transit_Uranus,,,12,inner_background_unconscious,0.1,,1.0,,0.1,0.0,0.1,True,planet_in_house
planet_in_house,Transit_Pluto,,,8,inner_background_unconscious,0.4,,1.0,,0.4,0.0,0.4,True,planet_in_house
aspect,Transit_Mars,Moon,sextile,,crisis_transformation_control,0.7,0.55,0.8687421973576713,0.55,0.334466,0.0,0.0,False,aspect
aspect,Transit_Mars,Venus,trine,,crisis_transformation_control,0.7,0.85,0.1920308519817464,0.35,0.114258,0.0,0.0,False,aspect
aspect,Transit_Mars,Mars,opposition,,crisis_transformation_control,0.7,0.95,0.1816316480182536,0.35,0.120785,0.0,0.0,False,aspect
aspect,Transit_Mars,Jupiter,trine,,crisis_transformation_control,0.7,0.85,0.23300585198174595,0.35,0.138638,0.0,0.0,False,aspect
aspect,Transit_Mars,Saturn,trine,,crisis_transformation_control,0.7,0.85,0.7419558519817482,0.35,0.441464,0.2,0.641464,True,aspect
aspect,Transit_Saturn,Moon,trine,,crisis_transformation_control,0.6,0.85,0.13767531293107105,0.35,0.070214,0.0,0.0,False,aspect
aspect,Transit_Saturn,Mars,trine,,crisis_transformation_control,0.6,0.85,0.8576003129310728,0.35,0.437376,0.2,0.637376,True,aspect
aspect,Transit_Saturn,Neptune,trine,,crisis_transformation_control,0.6,0.85,0.20328718706893056,0.35,0.103676,0.0,0.0,False,aspect
aspect,Transit_Saturn,Pluto,opposition,,crisis_transformation_control,0.6,0.95,0.017524687068927847,0.35,0.009989,0.0,0.0,False,aspect
aspect,Transit_Pluto,Sun,square,,crisis_transformation_control,1.0,0.85,0.613809045185511,0.35,0.521738,0.0,0.521738,True,aspect
aspect,Transit_Pluto,Moon,opposition,,crisis_transformation_control,1.0,0.95,0.6446454145373224,0.35,0.612413,0.0,0.612413,True,aspect
aspect,Transit_Pluto,Venus,trine,,crisis_transformation_control,1.0,0.85,0.4489420854626758,0.35,0.381601,0.0,0.381601,True,aspect
aspect,Transit_Pluto,Jupiter,trine,,crisis_transformation_control,1.0,0.85,0.4899170854626753,0.35,0.41643,0.0,0.41643,True,aspect
aspect,Transit_Pluto,Saturn,trine,,crisis_transformation_control,1.0,0.85,0.9988670854626776,0.35,0.849037,0.2,1.049037,True,aspect
planet_in_house,Transit_Pluto,,,8,crisis_transformation_control,1.0,,1.0,,1.0,0.0,1.0,True,planet_in_house
aspect,Transit_Mercury,Mercury,trine,,meaning_expansion_vector,0.4,0.85,0.011688013422874732,0.35,0.003974,0.0,0.0,False,aspect
aspect,Transit_Mercury,Uranus,trine,,meaning_expansion_vector,0.4,0.85,0.8597369865771238,0.35,0.292311,0.0,0.0,False,aspect
aspect,Transit_Mercury,Pluto,square,,meaning_expansion_vector,0.4,0.85,0.8156148724832865,0.35,0.277309,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Sun,square,,meaning_expansion_vector,1.0,0.85,0.1902584324540848,0.35,0.16172,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Moon,conjunction,,meaning_expansion_vector,1.0,1.0,0.2740386283973262,0.35,0.274039,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Venus,sextile,,meaning_expansion_vector,1.0,0.55,0.7593984954702316,0.55,0.417669,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Jupiter,sextile,,meaning_expansion_vector,1.0,0.55,0.8140318288035644,0.55,0.447718,0.0,0.0,False,aspect
aspect,Transit_Jupiter,Saturn,sextile,,meaning_expansion_vector,1.0,0.55,0.5073681711964326,0.55,0.279052,0.2,0.0,False,aspect
aspect,Transit_Jupiter,Uranus,trine,,meaning_expansion_vector,1.0,0.85,0.12236137160267546,0.35,0.104007,0.0,0.0,False,aspect
aspect,Transit_Neptune,Moon,trine,,meaning_expansion_vector,0.5,0.85,0.6069803533700124,0.35,0.257967,0.0,0.0,False,aspect
aspect,Transit_Neptune,Venus,opposition,,meaning_expansion_vector,0.5,0.95,0.4866071466299857,0.35,0.231138,0.2,0.0,False,aspect
aspect,Transit_Neptune,Jupiter,opposition,,meaning_expansion_vector,0.5,0.95,0.5275821466299853,0.35,0.250602,0.2,0.0,False,aspect
aspect,Transit_Neptune,Saturn,opposition,,meaning_expansion_vector,0.5,0.95,0.9634678533700125,0.35,0.457647,0.0,0.457647,True,aspect
