activation_id,sphere,expected_amount,actual_amount,actual_contribution_source_id,formula,strength,family_weight,target_weight,polarity_modifier,amount_delta,status
solar_return__ANGULAR_PLANET__PLUTO__HOUSE_10,inner_background_unconscious,0.1512,0.1512,solar_return__ANGULAR_PLANET__PLUTO__HOUSE_10,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.4,0.7,0.0,ok
solar_return__ANGULAR_PLANET__PLUTO__HOUSE_10,money_security_resources,0.1512,0.1512,solar_return__ANGULAR_PLANET__PLUTO__HOUSE_10,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.4,0.7,0.0,ok
solar_return__ANGULAR_PLANET__SUN__HOUSE_7,body_energy_health,0.3024,0.3024,solar_return__ANGULAR_PLANET__SUN__HOUSE_7,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.8,0.7,0.0,ok
solar_return__ANGULAR_PLANET__SUN__HOUSE_7,work_status_achievement,0.189,0.189,solar_return__ANGULAR_PLANET__SUN__HOUSE_7,strength * family_weight * target_weight * polarity_modifier,0.6,0.9,0.5,0.7,0.0,ok
solar_return__CHART_RULER__VENUS,home_family_roots,0.1764,0.1764,solar_return__CHART_RULER__VENUS,strength * family_weight * target_weight * polarity_modifier,0.7,0.9,0.4,0.7,0.0,ok
solar_return__CHART_RULER__VENUS,money_security_resources,0.3528,0.3528,solar_return__CHART_RULER__VENUS,strength * family_weight * target_weight * polarity_modifier,0.7,0.9,0.8,0.7,0.0,ok
solar_return__CHART_RULER__VENUS,relationships_partnership,0.441,0.441,solar_return__CHART_RULER__VENUS,strength * family_weight * target_weight * polarity_modifier,0.7,0.9,1.0,0.7,0.0,ok
solar_return__MOON_HOUSE__10,work_status_achievement,0.3276,0.3276,solar_return__MOON_HOUSE__10,strength * family_weight * target_weight * polarity_modifier,0.65,0.9,0.8,0.7,0.0,ok
t2a__JUPITER__CONJUNCTION__ASC,body_energy_health,0.3484,0.3484,t2a__JUPITER__CONJUNCTION__ASC,strength * family_weight * target_weight * polarity_modifier,0.5855,1.0,0.7,0.85,0.0,ok
t2a__JUPITER__OPPOSITION__DSC,relationships_partnership,0.3893,0.3893,t2a__JUPITER__OPPOSITION__DSC,strength * family_weight * target_weight * polarity_modifier,0.5562,1.0,0.7,1.0,0.0,ok
t2a__MERCURY__CONJUNCTION__ASC,body_energy_health,0.0751,0.0751,t2a__MERCURY__CONJUNCTION__ASC,strength * family_weight * target_weight * polarity_modifier,0.1263,1.0,0.7,0.85,0.0,ok
t2a__MERCURY__OPPOSITION__DSC,relationships_partnership,0.084,0.084,t2a__MERCURY__OPPOSITION__DSC,strength * family_weight * target_weight * polarity_modifier,0.12,1.0,0.7,1.0,0.0,ok
t2a__MERCURY__QUINCUNX__MC,work_status_achievement,0.1468,0.1468,t2a__MERCURY__QUINCUNX__MC,strength * family_weight * target_weight * polarity_modifier,0.2995,1.0,0.7,0.7,0.0,ok
t2a__MERCURY__SEMI_SEXTILE__IC,home_family_roots,0.0917,0.0917,t2a__MERCURY__SEMI_SEXTILE__IC,strength * family_weight * target_weight * polarity_modifier,0.1872,1.0,0.7,0.7,0.0,ok
t2a__MOON__SEXTILE__MC,work_status_achievement,0.3242,0.3242,t2a__MOON__SEXTILE__MC,strength * family_weight * target_weight * polarity_modifier,0.4632,1.0,0.7,1.0,0.0,ok
t2a__MOON__SQUARE__ASC,body_energy_health,0.1869,0.1869,t2a__MOON__SQUARE__ASC,strength * family_weight * target_weight * polarity_modifier,0.267,1.0,0.7,1.0,0.0,ok
t2a__MOON__SQUARE__DSC,relationships_partnership,0.1869,0.1869,t2a__MOON__SQUARE__DSC,strength * family_weight * target_weight * polarity_modifier,0.267,1.0,0.7,1.0,0.0,ok
t2a__MOON__TRINE__IC,home_family_roots,0.5011,0.5011,t2a__MOON__TRINE__IC,strength * family_weight * target_weight * polarity_modifier,0.7158,1.0,0.7,1.0,0.0,ok
t2a__NEPTUNE__SEMI_SQUARE__MC,work_status_achievement,0.0972,0.0972,t2a__NEPTUNE__SEMI_SQUARE__MC,strength * family_weight * target_weight * polarity_modifier,0.1389,1.0,0.7,1.0,0.0,ok
t2a__NEPTUNE__SESQUI_QUADRATE__IC,home_family_roots,0.0972,0.0972,t2a__NEPTUNE__SESQUI_QUADRATE__IC,strength * family_weight * target_weight * polarity_modifier,0.1389,1.0,0.7,1.0,0.0,ok
t2a__SUN__QUINCUNX__MC,work_status_achievement,0.0522,0.0522,t2a__SUN__QUINCUNX__MC,strength * family_weight * target_weight * polarity_modifier,0.1065,1.0,0.7,0.7,0.0,ok
t2a__SUN__SEMI_SEXTILE__IC,home_family_roots,0.0326,0.0326,t2a__SUN__SEMI_SEXTILE__IC,strength * family_weight * target_weight * polarity_modifier,0.0666,1.0,0.7,0.7,0.0,ok
t2a__VENUS__QUINCUNX__DSC,relationships_partnership,0.1843,0.1843,t2a__VENUS__QUINCUNX__DSC,strength * family_weight * target_weight * polarity_modifier,0.3762,1.0,0.7,0.7,0.0,ok
t2a__VENUS__SEMI_SEXTILE__ASC,body_energy_health,0.1152,0.1152,t2a__VENUS__SEMI_SEXTILE__ASC,strength * family_weight * target_weight * polarity_modifier,0.2351,1.0,0.7,0.7,0.0,ok
t2l__JUPITER__QUINCUNX__EROS,relationships_partnership,0.089,0.089,t2l__JUPITER__QUINCUNX__EROS,strength * family_weight * target_weight * polarity_modifier,0.1589,1.0,0.8,0.7,0.0,ok
t2l__JUPITER__SQUARE__FORTUNE,money_security_resources,0.3846,0.3846,t2l__JUPITER__SQUARE__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.4807,1.0,0.8,1.0,0.0,ok
t2l__JUPITER__SQUARE__FORTUNE,work_status_achievement,0.3846,0.3846,t2l__JUPITER__SQUARE__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.4807,1.0,0.8,1.0,0.0,ok
t2l__JUPITER__SQUARE__SPIRIT,meaning_expansion_vector,0.4117,0.4117,t2l__JUPITER__SQUARE__SPIRIT,strength * family_weight * target_weight * polarity_modifier,0.5146,1.0,0.8,1.0,0.0,ok
t2l__JUPITER__TRINE__MARRIAGE,relationships_partnership,0.2566,0.2566,t2l__JUPITER__TRINE__MARRIAGE,strength * family_weight * target_weight * polarity_modifier,0.3207,1.0,0.8,1.0,0.0,ok
t2l__MERCURY__QUINCUNX__EROS,relationships_partnership,0.0775,0.0775,t2l__MERCURY__QUINCUNX__EROS,strength * family_weight * target_weight * polarity_modifier,0.1384,1.0,0.8,0.7,0.0,ok
t2l__MERCURY__SQUARE__FORTUNE,money_security_resources,0.1018,0.1018,t2l__MERCURY__SQUARE__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.1272,1.0,0.8,1.0,0.0,ok
t2l__MERCURY__SQUARE__FORTUNE,work_status_achievement,0.1018,0.1018,t2l__MERCURY__SQUARE__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.1272,1.0,0.8,1.0,0.0,ok
t2l__MERCURY__SQUARE__SPIRIT,meaning_expansion_vector,0.0701,0.0701,t2l__MERCURY__SQUARE__SPIRIT,strength * family_weight * target_weight * polarity_modifier,0.0876,1.0,0.8,1.0,0.0,ok
t2l__MERCURY__TRINE__MARRIAGE,relationships_partnership,0.2511,0.2511,t2l__MERCURY__TRINE__MARRIAGE,strength * family_weight * target_weight * polarity_modifier,0.3139,1.0,0.8,1.0,0.0,ok
t2l__MOON__CONJUNCTION__SPIRIT,meaning_expansion_vector,0.2018,0.2018,t2l__MOON__CONJUNCTION__SPIRIT,strength * family_weight * target_weight * polarity_modifier,0.2967,1.0,0.8,0.85,0.0,ok
t2l__MOON__OPPOSITION__FORTUNE,money_security_resources,0.252,0.252,t2l__MOON__OPPOSITION__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.315,1.0,0.8,1.0,0.0,ok
t2l__MOON__OPPOSITION__FORTUNE,work_status_achievement,0.252,0.252,t2l__MOON__OPPOSITION__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.315,1.0,0.8,1.0,0.0,ok
t2l__MOON__QUINCUNX__MARRIAGE,relationships_partnership,0.1112,0.1112,t2l__MOON__QUINCUNX__MARRIAGE,strength * family_weight * target_weight * polarity_modifier,0.1985,1.0,0.8,0.7,0.0,ok
t2l__MOON__SEXTILE__EROS,relationships_partnership,0.2107,0.2107,t2l__MOON__SEXTILE__EROS,strength * family_weight * target_weight * polarity_modifier,0.2634,1.0,0.8,1.0,0.0,ok
t2l__SATURN__SEMI_SQUARE__EROS,relationships_partnership,0.174,0.174,t2l__SATURN__SEMI_SQUARE__EROS,strength * family_weight * target_weight * polarity_modifier,0.2175,1.0,0.8,1.0,0.0,ok
t2l__SATURN__SESQUI_QUADRATE__MARRIAGE,relationships_partnership,0.1692,0.1692,t2l__SATURN__SESQUI_QUADRATE__MARRIAGE,strength * family_weight * target_weight * polarity_modifier,0.2115,1.0,0.8,1.0,0.0,ok
t2l__SUN__SESQUI_QUADRATE__EROS,relationships_partnership,0.129,0.129,t2l__SUN__SESQUI_QUADRATE__EROS,strength * family_weight * target_weight * polarity_modifier,0.1613,1.0,0.8,1.0,0.0,ok
t2l__SUN__SESQUI_QUADRATE__MARRIAGE,relationships_partnership,0.1249,0.1249,t2l__SUN__SESQUI_QUADRATE__MARRIAGE,strength * family_weight * target_weight * polarity_modifier,0.1561,1.0,0.8,1.0,0.0,ok
t2l__VENUS__OPPOSITION__EROS,relationships_partnership,0.6383,0.6383,t2l__VENUS__OPPOSITION__EROS,strength * family_weight * target_weight * polarity_modifier,0.7979,1.0,0.8,1.0,0.0,ok
t2l__VENUS__SEXTILE__FORTUNE,money_security_resources,0.424,0.424,t2l__VENUS__SEXTILE__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.53,1.0,0.8,1.0,0.0,ok
t2l__VENUS__SEXTILE__FORTUNE,work_status_achievement,0.424,0.424,t2l__VENUS__SEXTILE__FORTUNE,strength * family_weight * target_weight * polarity_modifier,0.53,1.0,0.8,1.0,0.0,ok
t2l__VENUS__SQUARE__MARRIAGE,relationships_partnership,0.5553,0.5553,t2l__VENUS__SQUARE__MARRIAGE,strength * family_weight * target_weight * polarity_modifier,0.6941,1.0,0.8,1.0,0.0,ok
t2l__VENUS__TRINE__SPIRIT,meaning_expansion_vector,0.6237,0.6237,t2l__VENUS__TRINE__SPIRIT,strength * family_weight * target_weight * polarity_modifier,0.7796,1.0,0.8,1.0,0.0,ok
t2n__JUPITER__CONJUNCTION__MOON,body_energy_health,0.1397,0.1397,t2n__JUPITER__CONJUNCTION__MOON,strength * family_weight * target_weight * polarity_modifier,0.274,1.0,0.6,0.85,0.0,ok
t2n__JUPITER__CONJUNCTION__MOON,home_family_roots,0.2329,0.2329,t2n__JUPITER__CONJUNCTION__MOON,strength * family_weight * target_weight * polarity_modifier,0.274,1.0,1.0,0.85,0.0,ok
t2n__JUPITER__CONJUNCTION__MOON,inner_background_unconscious,0.1397,0.1397,t2n__JUPITER__CONJUNCTION__MOON,strength * family_weight * target_weight * polarity_modifier,0.274,1.0,0.6,0.85,0.0,ok
t2n__JUPITER__CONJUNCTION__MOON,relationships_partnership,0.1397,0.1397,t2n__JUPITER__CONJUNCTION__MOON,strength * family_weight * target_weight * polarity_modifier,0.274,1.0,0.6,0.85,0.0,ok
t2n__JUPITER__CONJUNCTION__MOON,thinking_speech_learning,0.0699,0.0699,t2n__JUPITER__CONJUNCTION__MOON,strength * family_weight * target_weight * polarity_modifier,0.274,1.0,0.3,0.85,0.0,ok
t2n__JUPITER__SESQUI_QUADRATE__MARS,body_energy_health,0.1284,0.1284,t2n__JUPITER__SESQUI_QUADRATE__MARS,strength * family_weight * target_weight * polarity_modifier,0.1284,1.0,1.0,1.0,0.0,ok
t2n__JUPITER__SESQUI_QUADRATE__MARS,crisis_transformation_control,0.0899,0.0899,t2n__JUPITER__SESQUI_QUADRATE__MARS,strength * family_weight * target_weight * polarity_modifier,0.1284,1.0,0.7,1.0,0.0,ok
t2n__JUPITER__SESQUI_QUADRATE__MARS,relationships_partnership,0.0514,0.0514,t2n__JUPITER__SESQUI_QUADRATE__MARS,strength * family_weight * target_weight * polarity_modifier,0.1284,1.0,0.4,1.0,0.0,ok
t2n__JUPITER__SESQUI_QUADRATE__MARS,work_status_achievement,0.077,0.077,t2n__JUPITER__SESQUI_QUADRATE__MARS,strength * family_weight * target_weight * polarity_modifier,0.1284,1.0,0.6,1.0,0.0,ok
t2n__JUPITER__SESQUI_QUADRATE__NEPTUNE,inner_background_unconscious,0.0552,0.0552,t2n__JUPITER__SESQUI_QUADRATE__NEPTUNE,strength * family_weight * target_weight * polarity_modifier,0.0552,1.0,1.0,1.0,0.0,ok
t2n__JUPITER__SESQUI_QUADRATE__NEPTUNE,meaning_expansion_vector,0.0276,0.0276,t2n__JUPITER__SESQUI_QUADRATE__NEPTUNE,strength * family_weight * target_weight * polarity_modifier,0.0552,1.0,0.5,1.0,0.0,ok
t2n__JUPITER__SEXTILE__JUPITER,meaning_expansion_vector,0.4623,0.4623,t2n__JUPITER__SEXTILE__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.4623,1.0,1.0,1.0,0.0,ok
t2n__JUPITER__SEXTILE__JUPITER,money_security_resources,0.3236,0.3236,t2n__JUPITER__SEXTILE__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.4623,1.0,0.7,1.0,0.0,ok
t2n__JUPITER__SEXTILE__JUPITER,thinking_speech_learning,0.1849,0.1849,t2n__JUPITER__SEXTILE__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.4623,1.0,0.4,1.0,0.0,ok
t2n__JUPITER__SEXTILE__JUPITER,work_status_achievement,0.1387,0.1387,t2n__JUPITER__SEXTILE__JUPITER,strength * family_weight * target_weight * polarity_modifier,0.4623,1.0,0.3,1.0,0.0,ok
t2n__JUPITER__SEXTILE__SATURN,body_energy_health,0.1589,0.1589,t2n__JUPITER__SEXTILE__SATURN,strength * family_weight * target_weight * polarity_modifier,0.3178,1.0,0.5,1.0,0.0,ok
t2n__JUPITER__SEXTILE__SATURN,crisis_transformation_control,0.1907,0.1907,t2n__JUPITER__SEXTILE__SATURN,strength * family_weight * target_weight * polarity_modifier,0.3178,1.0,0.6,1.0,0.0,ok
t2n__JUPITER__SEXTILE__SATURN,home_family_roots,0.1589,0.1589,t2n__JUPITER__SEXTILE__SATURN,strength * family_weight * target_weight * polarity_modifier,0.3178,1.0,0.5,1.0,0.0,ok
